"http://www.votesmart.org/issue_rating_detail.php?r_id=730&rtype=E",,,,
"CT","U.S. House",4,"Christopher Shays","Republican"
"DE","U.S. House","At-Large","Michael Castle","Republican"
"IL","U.S. House",10,"Mark Kirk","Republican"
"IL","U.S. House",15,"Timothy Johnson","Republican"
"ME","U.S. Senate","","Susan Collins","Republican"
"MI","U.S. House",3,"Vernon Ehlers","Republican"
"MN","U.S. Senate","","Norm Coleman","Republican"
"NH","U.S. House",1,"Jeb Bradley","Republican"
"NJ","U.S. House",2,"Frank LoBiondo","Republican"
"NJ","U.S. House",4,"Christopher Smith","Republican"
"NJ","U.S. House",7,"Leonard Lance","Republican"
"NJ","U.S. House",11,"Rodney Frelinghuysen","Republican"
"PA","U.S. House",6,"Jim Gerlach","Republican"
"PA","U.S. House",19,"Todd Platts","Republican"
"SC","U.S. House",4,"Robert Inglis","Republican"
"VA","U.S. House",10,"Frank Wolf","Republican"
"WA","U.S. House",8,"David George Reichert","Prefers Republican Party"
"WI","U.S. House",6,"Thomas Petri","Republican"
